x,y
4r5e,-100
50 yard cunt punt   ,-100
5h1t,-100
5hit,-100
a_s_s,-100
a2m,-100
a55,-100
adult,-100
amateur,-100
anal,-100
anal impaler   ,-100
anal leakage   ,-100
anilingus,-100
anus,-100
ar5e,-100
arrse,-100
arse,-100
arsehole,-100
ass,-100
ass fuck   ,-100
asses,-100
assfucker,-100
ass-fucker,-100
assfukka,-100
asshole,-100
ass-hole,-100
assholes,-100
assmucus   ,-100
assmunch,-100
asswhole,-100
autoerotic,-100
b!tch,-100
b00bs,-100
b17ch,-100
b1tch,-100
ballbag,-100
ballsack,-100
bang (one's) box   ,-100
bangbros,-100
bareback,-100
bastard,-100
beastial,-100
beastiality,-100
beef curtain   ,-100
bellend,-100
bestial,-100
bestiality,-100
bi+ch,-100
biatch,-100
bimbos,-100
birdlock,-100
bitch,-100
bitch tit   ,-100
bitcher,-100
bitchers,-100
bitches,-100
bitchin,-100
bitching,-100
bloody,-100
blow job,-100
blow me   ,-100
blow mud   ,-100
blowjob,-100
blowjobs,-100
blue waffle   ,-100
blumpkin   ,-100
boiolas,-100
bollock,-100
bollok,-100
boner,-100
boob,-100
boobs,-100
booobs,-100
boooobs,-100
booooobs,-100
booooooobs,-100
breasts,-100
buceta,-100
bugger,-100
bum,-100
bunny fucker,-100
bust a load   ,-100
busty,-100
butt,-100
butt fuck   ,-100
butthole,-100
buttmuch,-100
buttplug,-100
c0ck,-100
c0cksucker,-100
carpet muncher,-100
carpetmuncher,-100
cawk,-100
chink,-100
choade   ,-100
chota bags   ,-100
cipa,-100
cl1t,-100
clit,-100
clit licker   ,-100
clitoris,-100
clits,-100
clitty litter   ,-100
clusterfuck,-100
cnut,-100
cock,-100
cock pocket   ,-100
cock snot   ,-100
cockface,-100
cockhead,-100
cockmunch,-100
cockmuncher,-100
cocks,-100
cocksuck ,-100
cocksucked ,-100
cocksucker,-100
cock-sucker,-100
cocksucking,-100
cocksucks ,-100
cocksuka,-100
cocksukka,-100
cok,-100
cokmuncher,-100
coksucka,-100
coon,-100
cop some wood   ,-100
cornhole   ,-100
corp whore   ,-100
cox,-100
cum,-100
cum chugger   ,-100
cum dumpster   ,-100
cum freak   ,-100
cum guzzler   ,-100
cumdump   ,-100
cummer,-100
cumming,-100
cums,-100
cumshot,-100
cunilingus,-100
cunillingus,-100
cunnilingus,-100
cunt,-100
cunt hair   ,-100
cuntbag   ,-100
cuntlick ,-100
cuntlicker ,-100
cuntlicking ,-100
cunts,-100
cuntsicle   ,-100
cunt-struck   ,-100
cut rope   ,-100
cyalis,-100
cyberfuc,-100
cyberfuck ,-100
cyberfucked ,-100
cyberfucker,-100
cyberfuckers,-100
cyberfucking ,-100
d1ck,-100
damn,-100
dick,-100
dick hole   ,-100
dick shy   ,-100
dickhead,-100
dildo,-100
dildos,-100
dink,-100
dinks,-100
dirsa,-100
dirty Sanchez   ,-100
dlck,-100
dog-fucker,-100
doggie style,-100
doggiestyle,-100
doggin,-100
dogging,-100
donkeyribber,-100
doosh,-100
