x,y
allah akbar,-10
blacks,-10
chink,-10
chinks,-10
dykes,-10
faggot,-10
faggots,-10
fags,-10
homo,-10
inbred,-10
nigger,-10
niggers,-10
queers,-10
raped,-10
savages,-10
slave,-10
spic,-10
wetback,-10
wetbacks,-10
whites,-10
a dirty,-10
a nigger,-10
all niggers,-10
all white,-10
always fuck,-10
ass white,-10
be killed,-10
beat him,-10
biggest faggot,-10
blame the,-10
butt ugly,-10
chink eyed,-10
chinks in,-10
coon shit,-10
dumb monkey,-10
dumb nigger,-10
fag and,-10
fag but,-10
faggot a,-10
faggot and,-10
faggot ass,-10
faggot bitch,-10
faggot for,-10
faggot smh,-10
faggot that,-10
faggots and,-10
faggots like,-10
faggots usually,-10
faggots who,-10
fags are,-10
fuckin faggot,-10
fucking faggot,-10
fucking gay,-10
fucking hate,-10
fucking nigger,-10
fucking queer,-10
gay ass,-10
get raped,-10
hate all,-10
hate faggots,-10
hate fat,-10
hate you,-10
here faggot,-10
is white,-10
jungle bunny,-10
kill all,-10
kill yourself,-10
little faggot,-10
many niggers,-10
married to,-10
me faggot,-10
my coon,-10
nigga ask,-10
niggas like,-10
nigger ass,-10
nigger is,-10
nigger music,-10
niggers are,-10
of fags,-10
of white,-10
raped and,-10
raped by,-10
sand nigger,-10
savages that,-10
shorty bitch,-10
spear chucker,-10
spic cop,-10
stupid nigger,-10
that fag,-10
that faggot,-10
that nigger,-10
the faggots,-10
the female,-10
the niggers,-10
their heads,-10
them white,-10
then faggot,-10
this nigger,-10
to rape,-10
trailer park,-10
trash with,-10
u fuckin,-10
ugly dyke,-10
up nigger,-10
white ass,-10
white boy,-10
white person,-10
white trash,-10
with niggas,-10
you fag,-10
you nigger,-10
you niggers,-10
your faggot,-10
your nigger,-10
a bitch made,-10
a fag and,-10
a fag but,-10
a faggot and,-10
a faggot for,-10
a fucking queer,-10
a nigga ask,-10
a white person,-10
a white trash,-10
all these fucking,-10
are all white,-10
be killed for,-10
bitch made nigga,-10
faggots like you,-10
faggots usually have,-10
fuck outta here,-10
fuck u talking,-10
fuck you too,-10
fucking hate you,-10
full of white,-10
him a nigga,-10
his shorty bitch,-10
how many niggers,-10
is a fag,-10
is a faggot,-10
is a fuckin,-10
is a fucking,-10
is a nigger,-10
like a faggot,-10
like da colored,-10
many niggers are,-10
nigga and his,-10
niggers are in,-10
of white trash,-10
shut up nigger,-10
still a faggot,-10
the biggest faggot,-10
the faggots who,-10
the fuck do,-10
they all look,-10
what a fag,-10
white bitch in,-10
white trash and,-10
you a fag,-10
you a lame,-10
you a nigger,-10
you fuck wit,-10
you fucking faggot,-10
your a cunt,-10
your a dirty,-10
your bitch in,-10
a bitch made nigga,-10
a lame nigga you,-10
faggot if you ever,-10
full of white trash,-10
how many niggers are,-10
is full of white,-10
lame nigga you a,-10
many niggers are in,-10
nigga you a lame,-10
niggers are in my,-10
wit a lame nigga,-10
you a lame bitch,-10
you fuck wit a,-10
