x,y
allah akbar,-100
blacks,-100
chink,-100
chinks,-100
dykes,-100
faggot,-100
faggots,-100
fags,-100
homo,-100
inbred,-100
nigger,-100
niggers,-100
queers,-100
raped,-100
savages,-100
slave,-100
spic,-100
wetback,-100
wetbacks,-100
whites,-100
a dirty,-100
a nigger,-100
all niggers,-100
all white,-100
always fuck,-100
ass white,-100
be killed,-100
beat him,-100
biggest faggot,-100
blame the,-100
butt ugly,-100
chink eyed,-100
chinks in,-100
coon shit,-100
dumb monkey,-100
dumb nigger,-100
fag and,-100
fag but,-100
faggot a,-100
faggot and,-100
faggot ass,-100
faggot bitch,-100
faggot for,-100
faggot smh,-100
faggot that,-100
faggots and,-100
faggots like,-100
faggots usually,-100
faggots who,-100
fags are,-100
fuckin faggot,-100
fucking faggot,-100
fucking gay,-100
fucking hate,-100
fucking nigger,-100
fucking queer,-100
gay ass,-100
get raped,-100
hate all,-100
hate faggots,-100
hate fat,-100
hate you,-100
here faggot,-100
is white,-100
jungle bunny,-100
kill all,-100
kill yourself,-100
little faggot,-100
many niggers,-100
married to,-100
me faggot,-100
my coon,-100
nigga ask,-100
niggas like,-100
nigger ass,-100
nigger is,-100
nigger music,-100
niggers are,-100
of fags,-100
of white,-100
raped and,-100
raped by,-100
sand nigger,-100
savages that,-100
shorty bitch,-100
spear chucker,-100
spic cop,-100
stupid nigger,-100
that fag,-100
that faggot,-100
that nigger,-100
the faggots,-100
the female,-100
the niggers,-100
their heads,-100
them white,-100
then faggot,-100
this nigger,-100
to rape,-100
trailer park,-100
trash with,-100
u fuckin,-100
ugly dyke,-100
up nigger,-100
white ass,-100
white boy,-100
white person,-100
white trash,-100
with niggas,-100
you fag,-100
you nigger,-100
you niggers,-100
your faggot,-100
your nigger,-100
a bitch made,-100
a fag and,-100
a fag but,-100
a faggot and,-100
a faggot for,-100
a fucking queer,-100
a nigga ask,-100
a white person,-100
a white trash,-100
all these fucking,-100
are all white,-100
be killed for,-100
bitch made nigga,-100
faggots like you,-100
faggots usually have,-100
fuck outta here,-100
fuck u talking,-100
fuck you too,-100
fucking hate you,-100
full of white,-100
him a nigga,-100
his shorty bitch,-100
how many niggers,-100
is a fag,-100
is a faggot,-100
is a fuckin,-100
is a fucking,-100
is a nigger,-100
like a faggot,-100
like da colored,-100
many niggers are,-100
nigga and his,-100
niggers are in,-100
of white trash,-100
shut up nigger,-100
still a faggot,-100
the biggest faggot,-100
the faggots who,-100
the fuck do,-100
they all look,-100
what a fag,-100
white bitch in,-100
white trash and,-100
you a fag,-100
you a lame,-100
you a nigger,-100
you fuck wit,-100
you fucking faggot,-100
your a cunt,-100
your a dirty,-100
your bitch in,-100
a bitch made nigga,-100
a lame nigga you,-100
faggot if you ever,-100
full of white trash,-100
how many niggers are,-100
is full of white,-100
lame nigga you a,-100
many niggers are in,-100
nigga you a lame,-100
niggers are in my,-100
wit a lame nigga,-100
you a lame bitch,-100
you fuck wit a,-100
