words,sentiment
"uncivilised',",-100
"'gypo',",-100
"'gypos',",-100
"'cunt',",-100
"'cunts',",-100
"'peckerwood',",-100
"'peckerwoods',",-100
"'raghead',",-100
"'ragheads',",-100
"'cripple',",-100
"'cripples',",-100
"'niggur',",-100
"'niggurs',",-100
"'yellow bone',",-100
"'yellow bones',",-100
"'muzzie',",-100
"'muzzies',",-100
"'niggar',",-100
"'niggars',",-100
"'nigger',",-100
"'niggers',",-100
"'greaseball',",-100
"'greaseballs',",-100
"'white trash',",-100
"'white trashes',",-100
"'nig nog',",-100
"'nig nogs',",-100
"'faggot',",-100
"'faggots',",-100
"'cotton picker',",-100
"'cotton pickers',",-100
"'darkie',",-100
"'darkies',",-100
"'hoser',",-100
"'hosers',",-100
"'Uncle Tom',",-100
"'Uncle Toms',",-100
"'Jihadi',",-100
"'Jihadis',",-100
"'retard',",-100
"'retards',",-100
"'hillbilly',",-100
"'hillbillies',",-100
"'fag',",-100
"'fags',",-100
"'trailer trash',",-100
"'trailer trashes',",-100
"'pikey',",-100
"'pikies',",-100
"'nicca',",-100
"'niccas',",-100
"'tranny',",-100
"'trannies',",-100
"'porch monkey',",-100
"'porch monkies',",-100
"'wigger',",-100
"'wiggers',",-100
"'wetback',",-100
"'wetbacks',",-100
"'nigglet',",-100
"'nigglets',",-100
"'wigga',",-100
"'wiggas',",-100
"'dhimmi',",-100
"'dhimmis',",-100
"'honkey',",-100
"'honkies',",-100
"'eurotrash',",-100
"'eurotrashes',",-100
"'yardie',",-100
"'yardies',",-100
"'trailer park trash',",-100
"'trailer park trashes',",-100
"'niggah',",-100
"'niggahes',",-100
"'yokel',",-100
"'yokels',",-100
"'nigguh',",-100
"'nigguhes',",-100
"'camel jockey',",-100
"'camel jockies',",-100
"'honkie',",-100
"'honkies',",-100
"'niglet',",-100
"'niglets',",-100
"'gyppo',",-100
"'gyppos',",-100
"'dyke',",-100
"'dykes',",-100
"'half breed',",-100
"'honky',",-100
"'honkies',",-100
"'race traitor',",-100
"'race traitors',",-100
"'jiggaboo',",-100
"'jiggaboos',",-100
"'Chinaman',",-100
"'Chinamans',",-100
"'curry muncher',",-100
"'curry munchers',",-100
"'jungle bunny',",-100
"'jungle bunnies',",-100
"'coon ass',",-100
"'coon asses',",-100
"'newfie',",-100
"'newfies',",-100
"'house nigger',",-100
"'house niggers',",-100
"'limey',",-100
"'limies',",-100
"'red bone',",-100
"'red bones',",-100
"'guala',",-100
"'gualas',",-100
"'plastic paddy',",-100
"'plastic paddies',",-100
"'whigger',",-100
"'whiggers',",-100
"'jigaboo',",-100
"'jigaboos',",-100
"'nig',",-100
"'nigs',",-100
"'Zionazi',",-100
"'Zionazis',",-100
"'spear chucker',",-100
"'spear chuckers',",-100
"'niggress',",-100
"'niggresses',",-100
"'yobbo',",-100
"'yobbos',",-100
"'border jumper',",-100
"'border jumpers',",-100
"'sperg',",-100
"'spergs',",-100
"'pommy',",-100
"'pommies',",-100
"'munter',",-100
"'munters',",-100
"'tar baby',",-100
"'tar babies',",-100
"'pommie',",-100
"'pommies',",-100
"'gyp',",-100
"'gyps',",-100
"'anchor baby',",-100
"'anchor babies',",-100
"'twat',",-100
"'twats',",-100
"'border hopper',",-100
"'border hoppers',",-100
"'queer',",-100
"'queers',",-100
"'darky',",-100
"'darkies',",-100
"'ching chong',",-100
"'ching chongs',",-100
"'khazar',",-100
"'khazars',",-100
"'gippo',",-100
"'gippos',",-100
"'skanger',",-100
"'skangers',",-100
"'beaner',",-100
"'beaners',",-100
"'quadroon',",-100
"'quadroons',",-100
"'gator bait',",-100
"'gator baits',",-100
"'Cushite',",-100
"'Cushites',",-100
"'mud shark',",-100
"'mud sharks',",-100
"'cracker',",-100
"'crackers',",-100
"'dune coon',",-100
"'dune coons',",-100
"'pickaninny',",-100
"'pickaninnies',",-100
"'slant eye',",-100
"'slant eyes',",-100
"'sideways vagina',",-100
"'sideways vaginas',",-100
"'hick',",-100
"'hicks',",-100
"'camel fucker',",-100
"'camel fuckers',",-100
"'redneck',",-100
"'rednecks',",-100
"'spiv',",-100
"'spivs',",-100
"'zipperhead',",-100
"'zipperheads',",-100
"'Kushite',",-100
"'Kushites',",-100
"'Shylock',",-100
"'Shylocks',",-100
"'gook',",-100
"'gooks',",-100
"'papist',",-100
"'papists',",-100
"'hymie',",-100
"'hymies',",-100
"'wog',",-100
"'wogs',",-100
"'scally',",-100
"'scallies',",-100
"'coon',",-100
"'coons',",-100
"'whitey',",-100
"'whities',",-100
"'nigette',",-100
"'nigettes',",-100
"'paki',",-100
"'pakis',",-100
"'towel head',",-100
"'towel heads',",-100
"'Argie',",-100
"'Argies',",-100
"'wexican',",-100
"'wexicans',",-100
"'jigger',",-100
"'jiggers',",-100
"'injun',",-100
"'injuns',",-100
"'ocker',",-100
"'ockers',",-100
"'polack',",-100
"'polacks',",-100
"'moulie',",-100
"'moulies',",-100
"'niggor',",-100
"'niggors',",-100
"'scanger',",-100
"'scangers',",-100
"'ofay',",-100
"'ofaies',",-100
"'jigga',",-100
"'jiggas',",-100
"'redskin',",-100
"'redskins',",-100
"'chonky',",-100
"'chonkies',",-100
"'hebro',",-100
"'hebros',",-100
"'wop',",-100
"'wops',",-100
"'chink',",-100
"'chinks',",-100
"'sideways pussy',",-100
"'sideways pussies',",-100
"'paleface',",-100
"'palefaces',",-100
"'wagon burner',",-100
"'wagon burners',",-100
"'nigra',",-100
"'nigras',",-100
"'spic',",-100
"'spics',",-100
"'spics',",-100
"'jocky',",-100
"'jockies',",-100
"'kraut',",-100
"'krauts',",-100
"'steek',",-100
"'steeks',",-100
"'coolie',",-100
"'coolies',",-100
"'gooky',",-100
"'gookies',",-100
"'octaroon',",-100
"'octaroons',",-100
"'bint',",-100
"'bints',",-100
"'shit heel',",-100
"'shit heels',",-100
"'squaw',",-100
"'squaws',",-100
"'bog trotter',",-100
"'bog trotters',",-100
"'Oriental',",-100
"'Orientals',",-100
"'halfrican',",-100
"'halfricans',",-100
"'paddy',",-100
"'paddies',",-100
"'groid',",-100
"'groids',",-100
"'jiggabo',",-100
"'jiggabos',",-100
"'jigg',",-100
"'jiggs',",-100
"'jant',",-100
"'jants',",-100
"'spide',",-100
"'spides',",-100
"'camel humper',",-100
"'camel humpers',",-100
"'white nigger',",-100
"'white niggers',",-100
"'ZOG',",-100
"'ZOGs',",-100
"'diaper head',",-100
"'diaper heads',",-100
"'heeb',",-100
"'heebs',",-100
"'Christ killer',",-100
"'Christ killers',",-100
"'piker',",-100
"'pikers',",-100
"'higger',",-100
"'higgers',",-100
"'lemonhead',",-100
"'lemonheads',",-100
"'Hun',",-100
"'Huns',",-100
"'popolo',",-100
"'popolos',",-100
"'cowboy killer',",-100
"'cowboy killers',",-100
"'jhant',",-100
"'jhants',",-100
"'eyetie',",-100
"'eyeties',",-100
"'mockey',",-100
"'mockies',",-100
"'alligator bait',",-100
"'alligator baits',",-100
"'Jap',",-100
"'Japs',",-100
"'shanty Irish',",-100
"'shanty Irishes',",-100
"'redlegs',",-100
"'mulignan',",-100
"'mulignans',",-100
"'jockie',",-100
"'jockies',",-100
"'mangia cake',",-100
"'mangia cakes',",-100
"'moulinyan',",-100
"'moulinyans',",-100
"'nigar',",-100
"'nigars',",-100
"'darkey',",-100
"'darkies',",-100
"'gurrier',",-100
"'gurriers',",-100
"'lubra',",-100
"'lubras',",-100
"'Buckwheat',",-100
"'Buckwheats',",-100
"'mulato',",-100
"'mulatos',",-100
"'prairie nigger',",-100
"'prairie niggers',",-100
"'kyke',",-100
"'kykes',",-100
"'boonie',",-100
"'boonies',",-100
"'mick',",-100
"'micks',",-100
"'bluegum',",-100
"'bluegums',",-100
"'spigger',",-100
"'spiggers',",-100
"'border bunny',",-100
"'border bunnies',",-100
"'kike',",-100
"'kikes',",-100
"'moulignon',",-100
"'moulignons',",-100
"'roundeye',",-100
"'roundeyes',",-100
"'ginzo',",-100
"'ginzos',",-100
"'Jewbacca',",-100
"'Jewbaccas',",-100
"'booner',",-100
"'booners',",-100
"'nigre',",-100
"'nigres',",-100
"'scallie',",-100
"'scallies',",-100
"'niger',",-100
"'nigers',",-100
"'dinge',",-100
"'dinges',",-100
"'Leb',",-100
"'Lebs',",-100
"'Lebbo',",-100
"'Lebbos',",-100
"'sambo',",-100
"'sambos',",-100
"'Africoon',",-100
"'Africoons',",-100
"'ling ling',",-100
"'ling lings',",-100
"'gub',",-100
"'gubs',",-100
"'banana bender',",-100
"'banana benders',",-100
"'japie',",-100
"'japies',",-100
"'island nigger',",-100
"'island niggers',",-100
"'hairyback',",-100
"'hairybacks',",-100
"'lugan',",-100
"'lugans',",-100
"'Bog Irish',",-100
"'Bog Irishes',",-100
"'blaxican',",-100
"'blaxicans',",-100
"'moke',",-100
"'mokes',",-100
"'nigor',",-100
"'nigors',",-100
"'bix nood',",-100
"'bix noods',",-100
"'Kushi',",-100
"'Kushis',",-100
"'guala guala',",-100
"'guala gualas',",-100
"'hoosier',",-100
"'hoosiers',",-100
"'thicklips',",-100
"'mook',",-100
"'mooks',",-100
"'muk',",-100
"'muks',",-100
"'soup taker',",-100
"'soup takers',",-100
"'senga',",-100
"'sengas',",-100
"'Cushi',",-100
"'Cushis',",-100
"'pogue',",-100
"'pogues',",-100
"'abo',",-100
"'abos',",-100
"'ping pang',",-100
"'ping pangs',",-100
"'proddy dog',",-100
"'proddy dogs',",-100
"'boong',",-100
"'boongs',",-100
"'dago',",-100
"'dagos',",-100
"'dogun',",-100
"'doguns',",-100
"'mocky',",-100
"'mockies',",-100
"'poppadom',",-100
"'poppadoms',",-100
"'Gwat',",-100
"'Gwats',",-100
"'ice nigger',",-100
"'ice niggers',",-100
"'spook',",-100
"'spooks',",-100
"'Afro-Saxon',",-100
"'Afro-Saxons',",-100
"'guido',",-100
"'guidos',",-100
"'latrino',",-100
"'latrinos',",-100
"'lowlander',",-100
"'lowlanders',",-100
"'mockie',",-100
"'mockies',",-100
"'moky',",-100
"'mokies',",-100
"'mosshead',",-100
"'mossheads',",-100
"'African catfish',",-100
"'African catfishes',",-100
"'gyppy',",-100
"'gyppies',",-100
"'timber nigger',",-100
"'timber niggers',",-100
"'Americoon',",-100
"'Americoons',",-100
"'camel cowboy',",-100
"'camel cowboies',",-100
"'eh hole',",-100
"'eh holes',",-100
"'Hunyak',",-100
"'Hunyaks',",-100
"'slopehead',",-100
"'slopeheads',",-100
"'teabagger',",-100
"'teabaggers',",-100
"'Armo',",-100
"'Armos',",-100
"'bitch',",-100
"'bitches',",-100
"'greaser',",-100
"'greasers',",-100
"'Honyock',",-100
"'Honyocks',",-100
"'mud person',",-100
"'mud persons',",-100
"'pineapple nigger',",-100
"'pineapple niggers',",-100
"'retarded',",-100
"'semihole',",-100
"'semiholes',",-100
"'Amo',",-100
"'Amos',",-100
"'border nigger',",-100
"'border niggers',",-100
"'buckra',",-100
"'buckras',",-100
"'burrhead',",-100
"'burrheads',",-100
"'cab nigger',",-100
"'cab niggers',",-100
"'carpet pilot',",-100
"'carpet pilots',",-100
"'pancake face',",-100
"'pancake faces',",-100
"'spigotty',",-100
"'spigotties',",-100
"'carrot snapper',",-100
"'carrot snappers',",-100
"'chili shitter',",-100
"'chili shitters',",-100
"'curry slurper',",-100
"'curry slurpers',",-100
"'ghetto hamster',",-100
"'ghetto hamsters',",-100
"'ice monkey',",-100
"'ice monkies',",-100
"'roofucker',",-100
"'roofuckers',",-100
"'Velcro head',",-100
"'Velcro heads',",-100
"'wiggerette',",-100
"'wiggerettes',",-100
"'beach nigger',",-100
"'beach niggers',",-100
"'bean dipper',",-100
"'bean dippers',",-100
"'bog hopper',",-100
"'bog hoppers',",-100
"'Buddhahead',",-100
"'Buddhaheads',",-100
"'camel jacker',",-100
"'camel jackers',",-100
"'Caublasian',",-100
"'Caublasians',",-100
"'cave nigger',",-100
"'cave niggers',",-100
"'cow kisser',",-100
"'cow kissers',",-100
"'dune nigger',",-100
"'dune niggers',",-100
"'four by two',",-100
"'four by twos',",-100
"'fresh off the boat',",-100
"'fresh off the boats',",-100
"'gin jockey',",-100
"'gin jockies',",-100
"'golliwog',",-100
"'golliwogs',",-100
"'guinea',",-100
"'guineas',",-100
"'Jim Fish',",-100
"'Jim Fishes',",-100
"'mackerel snapper',",-100
"'mackerel snappers',",-100
"'octroon',",-100
"'octroons',",-100
"'pohm',",-100
"'pohms',",-100
"'pussy',",-100
"'pussies',",-100
"'Russellite',",-100
"'Russellites',",-100
"'spice nigger',",-100
"'spice niggers',",-100
"'uncivilized',",-100
"'Whipped',",-100
"'albino',",-100
"'albinos',",-100
"'ape',",-100
"'apes',",-100
"'Aunt Jemima',",-100
"'Aunt Jemimas',",-100
"'buckethead',",-100
"'bucketheads',",-100
"'Chinese wetback',",-100
"'Chinese wetbacks',",-100
"'chug',",-100
"'chugs',",-100
"'curry stinker',",-100
"'curry stinkers',",-100
"'dyke jumper',",-100
"'dyke jumpers',",-100
"'eight ball',",-100
"'eight balls',",-100
"'gun burglar',",-100
"'gun burglars',",-100
"'ikey mo',",-100
"'ikey mos',",-100
"'lawn jockey',",-100
"'lawn jockies',",-100
"'leprechaun',",-100
"'leprechauns',",-100
"'mutt',",-100
"'mutts',",-100
"'negro',",-100
"'negros',",-100
‰Û÷negroes‰Ûª,-100
"'nitchee',",-100
"'nitchees',",-100
"'sooty',",-100
"'sooties',",-100
"'spick',",-100
"'spicks',",-100
"'tinkard',",-100
"'tinkards',",-100
"'uncircumcised baboon',",-100
"'uncircumcised baboons',",-100
"'zigabo',",-100
"'zigabos',",-100
"'abbo',",-100
"'abbos',",-100
"'Anglo',",-100
"'Anglos',",-100
"'Aunt Jane',",-100
"'Aunt Janes',",-100
"'Aunt Mary',",-100
"'Aunt Maries',",-100
"'Aunt Sally',",-100
"'Aunt Sallies',",-100
"'azn',",-100
"'azns',",-100
"'bamboo coon',",-100
"'bamboo coons',",-100
"'banana lander',",-100
"'banana landers',",-100
"'banjo lips',",-100
"'bans and cans',",-100
"'beaner shnitzel',",-100
"'beaner shnitzels',",-100
"'beaney',",-100
"'beanies',",-100
"'Bengali',",-100
"'Bengalis',",-100
"'bhrempti',",-100
"'bhremptis',",-100
"'bird',",-100
"'birds',",-100
"'bitter clinger',",-100
"'bitter clingers',",-100
"'black Barbie',",-100
"'black Barbies',",-100
"'black dago',",-100
"'black dagos',",-100
"'blockhead',",-100
"'blockheads',",-100
"'bog jumper',",-100
"'bog jumpers',",-100
"'boon',",-100
"'boons',",-100
"'boonga',",-100
"'boongas',",-100
"'Bounty bar',",-100
"'Bounty bars',",-100
"'boxhead',",-100
"'boxheads',",-100
"'brass ankle',",-100
"'brass ankles',",-100
"'brownie',",-100
"'brownies',",-100
"'buffie',",-100
"'buffies',",-100
"'bug eater',",-100
"'bug eaters',",-100
"'buk buk',",-100
"'buk buks',",-100
"'bumblebee',",-100
"'bumblebees',",-100
"'bung',",-100
"'bungs',",-100
"'bunga',",-100
"'bungas',",-100
"'butterhead',",-100
"'butterheads',",-100
"'can eater',",-100
"'can eaters',",-100
"'celestial',",-100
"'celestials',",-100
"'Charlie',",-100
"'Charlies',",-100
"'chee chee',",-100
"'chee chees',",-100
"'chi chi',",-100
"'chi chis',",-100
"'chigger',",-100
"'chiggers',",-100
"'chinig',",-100
"'chinigs',",-100
"'chink a billy',",-100
"'chink a billies',",-100
"'chunky',",-100
"'chunkies',",-100
"'clam',",-100
"'clams',",-100
"'clamhead',",-100
"'clamheads',",-100
"'colored',",-100
"'coloured',",-100
"'crow',",-100
"'crows',",-100
"'dego',",-100
"'degos',",-100
"'dink',",-100
"'dinks',",-100
"'dogan',",-100
"'dogans',",-100
"'domes',",-100
"'dot head',",-100
"'dot heads',",-100
"'eggplant',",-100
"'eggplants',",-100
"'Fairy',",-100
"'Fairies',",-100
"'fez',",-100
"'fezs',",-100
"'FOB',",-100
"'FOBs',",-100
"'fog nigger',",-100
"'fog niggers',",-100
"'fuzzy',",-100
"'fuzzies',",-100
"'fuzzy wuzzy',",-100
"'fuzzy wuzzies',",-100
"'gable',",-100
"'gables',",-100
"'Gerudo',",-100
"'Gerudos',",-100
"'gew',",-100
"'gews',",-100
"'ghetto',",-100
"'ghettos',",-100
"'gipp',",-100
"'gipps',",-100
"'gook eye',",-100
"'gook eyes',",-100
"'gyppie',",-100
"'gyppies',",-100
"'heinie',",-100
"'heinies',",-100
"'ho',",-100
"'hos',",-100
"'hoe',",-100
"'hoes',",-100
"'Honyak',",-100
"'Honyaks',",-100
"'Hunkie',",-100
"'Hunkies',",-100
"'Hunky',",-100
"'Hunkies',",-100
"'Hunyock',",-100
"'Hunyocks',",-100
"'ike',",-100
"'ikes',",-100
"'ikey',",-100
"'ikies',",-100
"'iky',",-100
"'ikies',",-100
"'jig',",-100
"'jigs',",-100
"'jigarooni',",-100
"'jigaroonis',",-100
"'jijjiboo',",-100
"'jijjiboos',",-100
"'kotiya',",-100
"'kotiyas',",-100
"'mickey',",-100
"'mickies',",-100
"'moch',",-100
"'moches',",-100
"'mock',",-100
"'mocks',",-100
"'mong',",-100
"'mongs',",-100
"'monkey',",-100
"'monkies',",-100
"'Moor',",-100
"'Moors',",-100
"'moss eater',",-100
"'moss eaters',",-100
"'moxy',",-100
"'moxies',",-100
"'muktuk',",-100
"'muktuks',",-100
"'mung',",-100
"'mungs',",-100
"'munt',",-100
"'munts',",-100
"'ned',",-100
"'net head',",-100
"'net heads',",-100
"'nichi',",-100
"'nichis',",-100
"'nichiwa',",-100
"'nichiwas',",-100
"'nidge',",-100
"'nidges',",-100
"'nip',",-100
"'nips',",-100
"'nitchie',",-100
"'nitchies',",-100
"'nitchy',",-100
"'nitchies',",-100
"'Orangie',",-100
"'Orangies',",-100
"'Oreo',",-100
"'Oreos',",-100
"'papoose',",-100
"'papooses',",-100
"'piky',",-100
"'pikies',",-100
"'pinto',",-100
"'pintos',",-100
"'pointy head',",-100
"'pointy heads',",-100
"'pollo',",-100
"'pollos',",-100
"'pom',",-100
"'poms',",-100
"'pommie grant',",-100
"'pommie grants',",-100
"'Punjab',",-100
"'Punjabs',",-100
"'rube',",-100
"'rubes',",-100
"'sawney',",-100
"'sawnies',",-100
"'scag',",-100
"'scags',",-100
"'seppo',",-100
"'seppos',",-100
"'septic',",-100
"'septics',",-100
"'shant',",-100
"'shants',",-100
"'sheeny',",-100
"'sheenies',",-100
"'sheepfucker',",-100
"'sheepfuckers',",-100
"'Shelta',",-100
"'Sheltas',",-100
"'shiner',",-100
"'shiners',",-100
"'shit kicker',",-100
"'shit kickers',",-100
"'Shy',",-100
"'Shies',",-100
"'sideways cooter',",-100
"'sideways cooters',",-100
"'skag',",-100
"'skags',",-100
"'Skippy',",-100
"'Skippies',",-100
"'slag',",-100
"'slags',",-100
"'slant',",-100
"'slants',",-100
"'slit',",-100
"'slits',",-100
"'slope',",-100
"'slopes',",-100
"'slopey',",-100
"'slopies',",-100
"'slopy',",-100
"'slopies',",-100
"'smoke jumper',",-100
"'smoke jumpers',",-100
"'smoked Irish',",-100
"'smoked Irishes',",-100
"'smoked Irishman',",-100
"'smoked Irishmans',",-100
"'sole',",-100
"'soles',",-100
"'spickaboo',",-100
"'spickaboos',",-100
"'spig',",-100
"'spigs',",-100
"'spik',",-100
"'spiks',",-100
"'spink',",-100
"'spinks',",-100
"'squarehead',",-100
"'squareheads',",-100
"'squinty',",-100
"'squinties',",-100
"'stovepipe',",-100
"'stovepipes',",-100
"'sub human',",-100
"'sub humans',",-100
"'sucker fish',",-100
"'sucker fishes',",-100
"'Taffy',",-100
"'Taffies',",-100
"'teapot',",-100
"'teapots',",-100
"'tenker',",-100
"'tenkers',",-100
"'tincker',",-100
"'tinckers',",-100
"'tinkar',",-100
"'tinkars',",-100
"'tinker',",-100
"'tinkers',",-100
"'tinkere',",-100
"'tinkeres',",-100
"'trash',",-100
"'trashes',",-100
"'tree jumper',",-100
"'tree jumpers',",-100
"'tunnel digger',",-100
"'tunnel diggers',",-100
"'Twinkie',",-100
"'Twinkies',",-100
"'tyncar',",-100
"'tyncars',",-100
"'tynekere',",-100
"'tynekeres',",-100
"'tynkard',",-100
"'tynkards',",-100
"'tynkare',",-100
"'tynkares',",-100
"'tynker',",-100
"'tynkers',",-100
"'tynkere',",-100
"'tynkeres',",-100
"'WASP',",-100
"'WASPs',",-100
"'Yank',",-100
"'Yanks',",-100
"'Yankee',",-100
"'Yankees',",-100
"'yellow',",-100
"'yellows',",-100
"'yid',",-100
"'yids',",-100
"'yob',",-100
"'yobs',",-100
"'zebra',",-100
"'zebras',",-100
"'zippohead',",-100
"'zippoheads',",-100
"'ZOG lover',",-100
"'ZOG lovers‰Ûª,",-100
"'knacker',",-100
"'knackers',",-100
"'shyster',",-100
"'shysters',",-100
"'bogan',",-100
"'bogans',",-100
"'hayseed',",-100
"'moon cricket',",-100
"'moon crickets',",-100
"'mud duck',",-100
"'mud ducks',",-100
"'surrender monkey',",-100
"'surrender monkies',",-100
"'bludger',",-100
"'bludgers',",-100
"'charver',",-100
"'charvers',",-100
