x,y
"uncivilised',",-10
"'gypo',",-10
"'gypos',",-10
"'cunt',",-10
"'cunts',",-10
"'peckerwood',",-10
"'peckerwoods',",-10
"'raghead',",-10
"'ragheads',",-10
"'cripple',",-10
"'cripples',",-10
"'niggur',",-10
"'niggurs',",-10
"'yellow bone',",-10
"'yellow bones',",-10
"'muzzie',",-10
"'muzzies',",-10
"'niggar',",-10
"'niggars',",-10
"'nigger',",-10
"'niggers',",-10
"'greaseball',",-10
"'greaseballs',",-10
"'white trash',",-10
"'white trashes',",-10
"'nig nog',",-10
"'nig nogs',",-10
"'faggot',",-10
"'faggots',",-10
"'cotton picker',",-10
"'cotton pickers',",-10
"'darkie',",-10
"'darkies',",-10
"'hoser',",-10
"'hosers',",-10
"'Uncle Tom',",-10
"'Uncle Toms',",-10
"'Jihadi',",-10
"'Jihadis',",-10
"'retard',",-10
"'retards',",-10
"'hillbilly',",-10
"'hillbillies',",-10
"'fag',",-10
"'fags',",-10
"'trailer trash',",-10
"'trailer trashes',",-10
"'pikey',",-10
"'pikies',",-10
"'nicca',",-10
"'niccas',",-10
"'tranny',",-10
"'trannies',",-10
"'porch monkey',",-10
"'porch monkies',",-10
"'wigger',",-10
"'wiggers',",-10
"'wetback',",-10
"'wetbacks',",-10
"'nigglet',",-10
"'nigglets',",-10
"'wigga',",-10
"'wiggas',",-10
"'dhimmi',",-10
"'dhimmis',",-10
"'honkey',",-10
"'honkies',",-10
"'eurotrash',",-10
"'eurotrashes',",-10
"'yardie',",-10
"'yardies',",-10
"'trailer park trash',",-10
"'trailer park trashes',",-10
"'niggah',",-10
"'niggahes',",-10
"'yokel',",-10
"'yokels',",-10
"'nigguh',",-10
"'nigguhes',",-10
"'camel jockey',",-10
"'camel jockies',",-10
"'honkie',",-10
"'honkies',",-10
"'niglet',",-10
"'niglets',",-10
"'gyppo',",-10
"'gyppos',",-10
"'dyke',",-10
"'dykes',",-10
"'half breed',",-10
"'honky',",-10
"'honkies',",-10
"'race traitor',",-10
"'race traitors',",-10
"'jiggaboo',",-10
"'jiggaboos',",-10
"'Chinaman',",-10
"'Chinamans',",-10
"'curry muncher',",-10
"'curry munchers',",-10
"'jungle bunny',",-10
"'jungle bunnies',",-10
"'coon ass',",-10
"'coon asses',",-10
"'newfie',",-10
"'newfies',",-10
"'house nigger',",-10
"'house niggers',",-10
"'limey',",-10
"'limies',",-10
"'red bone',",-10
"'red bones',",-10
"'guala',",-10
"'gualas',",-10
"'plastic paddy',",-10
"'plastic paddies',",-10
"'whigger',",-10
"'whiggers',",-10
"'jigaboo',",-10
"'jigaboos',",-10
"'nig',",-10
"'nigs',",-10
"'Zionazi',",-10
"'Zionazis',",-10
"'spear chucker',",-10
"'spear chuckers',",-10
"'niggress',",-10
"'niggresses',",-10
"'yobbo',",-10
"'yobbos',",-10
"'border jumper',",-10
"'border jumpers',",-10
"'sperg',",-10
"'spergs',",-10
"'pommy',",-10
"'pommies',",-10
"'munter',",-10
"'munters',",-10
"'tar baby',",-10
"'tar babies',",-10
"'pommie',",-10
"'pommies',",-10
"'gyp',",-10
"'gyps',",-10
"'anchor baby',",-10
"'anchor babies',",-10
"'twat',",-10
"'twats',",-10
"'border hopper',",-10
"'border hoppers',",-10
"'queer',",-10
"'queers',",-10
"'darky',",-10
"'darkies',",-10
"'ching chong',",-10
"'ching chongs',",-10
"'khazar',",-10
"'khazars',",-10
"'gippo',",-10
"'gippos',",-10
"'skanger',",-10
"'skangers',",-10
"'beaner',",-10
"'beaners',",-10
"'quadroon',",-10
"'quadroons',",-10
"'gator bait',",-10
"'gator baits',",-10
