x,y
4r5e,-10
50 yard cunt punt,-10
5h1t,-10
5hit,-10
a_s_s,-10
a2m,-10
a55,-10
adult,-10
amateur,-10
anal,-10
anal impaler,-10
anal leakage,-10
anilingus,-10
anus,-10
ar5e,-10
arrse,-10
arse,-10
arsehole,-10
ass,-10
ass fuck,-10
asses,-10
assfucker,-10
ass-fucker,-10
assfukka,-10
asshole,-10
ass-hole,-10
assholes,-10
assmucus,-10
assmunch,-10
asswhole,-10
autoerotic,-10
b!tch,-10
b00bs,-10
b17ch,-10
b1tch,-10
ballbag,-10
ballsack,-10
bang (one's) box,-10
bangbros,-10
bareback,-10
bastard,-10
beastial,-10
beastiality,-10
beef curtain,-10
bellend,-10
bestial,-10
bestiality,-10
bi+ch,-10
biatch,-10
bimbos,-10
birdlock,-10
bitch,-10
bitch tit,-10
bitcher,-10
bitchers,-10
bitches,-10
bitchin,-10
bitching,-10
bloody,-10
blow job,-10
blow me,-10
blow mud,-10
blowjob,-10
blowjobs,-10
blue waffle,-10
blumpkin,-10
boiolas,-10
bollock,-10
bollok,-10
boner,-10
boob,-10
boobs,-10
booobs,-10
boooobs,-10
booooobs,-10
booooooobs,-10
breasts,-10
buceta,-10
bugger,-10
bum,-10
bunny fucker,-10
bust a load,-10
busty,-10
butt,-10
butt fuck,-10
butthole,-10
buttmuch,-10
buttplug,-10
c0ck,-10
c0cksucker,-10
carpet muncher,-10
carpetmuncher,-10
cawk,-10
chink,-10
choade,-10
chota bags,-10
cipa,-10
cl1t,-10
clit,-10
clit licker,-10
clitoris,-10
clits,-10
clitty litter,-10
clusterfuck,-10
cnut,-10
cock,-10
cock pocket,-10
cock snot,-10
cockface,-10
cockhead,-10
cockmunch,-10
cockmuncher,-10
cocks,-10
cocksuck ,-10
cocksucked ,-10
cocksucker,-10
cock-sucker,-10
cocksucking,-10
cocksucks ,-10
cocksuka,-10
cocksukka,-10
cok,-10
cokmuncher,-10
coksucka,-10
coon,-10
cop some wood,-10
cornhole,-10
corp whore,-10
cox,-10
cum,-10
cum chugger,-10
cum dumpster,-10
cum freak,-10
cum guzzler,-10
cumdump,-10
cummer,-10
cumming,-10
cums,-10
cumshot,-10
cunilingus,-10
cunillingus,-10
cunnilingus,-10
cunt,-10
cunt hair,-10
