x,y
abbo,-100
abo,-100
abortion,-100
abuse,-100
addict,-100
addicts,-100
adult,-100
africa,-100
african,-100
alla,-100
allah,-100
alligatorbait,-100
amateur,-100
american,-100
anal,-100
analannie,-100
analsex,-100
angie,-100
angry,-100
anus,-100
arab,-100
arabs,-100
areola,-100
argie,-100
aroused,-100
arse,-100
arsehole,-100
asian,-100
ass,-100
assassin,-100
assassinate,-100
assassination,-100
assault,-100
assbagger,-100
assblaster,-100
assclown,-100
asscowboy,-100
asses,-100
assfuck,-100
assfucker,-100
asshat,-100
asshole,-100
assholes,-100
asshore,-100
assjockey,-100
asskiss,-100
asskisser,-100
assklown,-100
asslick,-100
asslicker,-100
asslover,-100
assman,-100
assmonkey,-100
assmunch,-100
assmuncher,-100
asspacker,-100
asspirate,-100
asspuppies,-100
assranger,-100
asswhore,-100
asswipe,-100
athletesfoot,-100
attack,-100
australian,-100
babe,-100
babies,-100
backdoor,-100
backdoorman,-100
backseat,-100
badfuck,-100
balllicker,-100
balls,-100
ballsack,-100
banging,-100
baptist,-100
barelylegal,-100
barf,-100
barface,-100
barfface,-100
bast,-100
bastard ,-100
bazongas,-100
bazooms,-100
beaner,-100
beast,-100
beastality,-100
beastial,-100
beastiality,-100
beatoff,-100
beat-off,-100
beatyourmeat,-100
beaver,-100
bestial,-100
bestiality,-100
bi,-100
biatch,-100
bible,-100
bicurious,-100
bigass,-100
bigbastard,-100
bigbutt,-100
bigger,-100
bisexual,-100
bi-sexual,-100
bitch,-100
bitcher,-100
bitches,-100
bitchez,-100
bitchin,-100
bitching,-100
bitchslap,-100
bitchy,-100
biteme,-100
black,-100
blackman,-100
blackout,-100
blacks,-100
blind,-100
blow,-100
blowjob,-100
boang,-100
bogan,-100
bohunk,-100
bollick,-100
bollock,-100
bomb,-100
bombers,-100
bombing,-100
bombs,-100
bomd,-100
bondage,-100
boner,-100
bong,-100
boob,-100
boobies,-100
boobs,-100
booby,-100
boody,-100
boom,-100
boong,-100
boonga,-100
boonie,-100
booty,-100
bootycall,-100
bountybar,-100
bra,-100
brea5t,-100
breast,-100
breastjob,-100
breastlover,-100
breastman,-100
brothel,-100
bugger,-100
buggered,-100
buggery,-100
bullcrap,-100
bulldike,-100
bulldyke,-100
bullshit,-100
bumblefuck,-100
bumfuck,-100
bunga,-100
bunghole,-100
buried,-100
burn,-100
butchbabes,-100
butchdike,-100
butchdyke,-100
butt,-100
buttbang,-100
butt-bang,-100
buttface,-100
buttfuck,-100
butt-fuck,-100
buttfucker,-100
butt-fucker,-100
buttfuckers,-100
butt-fuckers,-100
butthead,-100
buttman,-100
buttmunch,-100
buttmuncher,-100
buttpirate,-100
buttplug,-100
buttstain,-100
byatch,-100
cacker,-100
cameljockey,-100
cameltoe,-100
canadian,-100
cancer,-100
carpetmuncher,-100
carruth,-100
catholic,-100
catholics,-100
cemetery,-100
chav,-100
cherrypopper,-100
chickslick,-100
children's,-100
chin,-100
chinaman,-100
chinamen,-100
chinese,-100
chink,-100
chinky,-100
choad,-100
chode,-100
christ,-100
christian,-100
church,-100
cigarette,-100
cigs,-100
clamdigger,-100
clamdiver,-100
clit,-100
clitoris,-100
clogwog,-100
cocaine,-100
cock,-100
cockblock,-100
cockblocker,-100
cockcowboy,-100
cockfight,-100
cockhead,-100
cockknob,-100
cocklicker,-100
cocklover,-100
cocknob,-100
cockqueen,-100
cockrider,-100
cocksman,-100
cocksmith,-100
cocksmoker,-100
cocksucer,-100
cocksuck ,-100
cocksucked ,-100
cocksucker,-100
cocksucking,-100
cocktail,-100
cocktease,-100
cocky,-100
cohee,-100
coitus,-100
color,-100
colored,-100
coloured,-100
commie,-100
communist,-100
condom,-100
conservative,-100
conspiracy,-100
coolie,-100
cooly,-100
coon,-100
coondog,-100
copulate,-100
cornhole,-100
corruption,-100
cra5h,-100
crabs,-100
crack,-100
crackpipe,-100
crackwhore,-100
crack-whore,-100
crap,-100
crapola,-100
crapper,-100
crappy,-100
crash,-100
creamy,-100
crime,-100
crimes,-100
criminal,-100
criminals,-100
crotch,-100
crotchjockey,-100
crotchmonkey,-100
crotchrot,-100
cum,-100
cumbubble,-100
cumfest,-100
cumjockey,-100
cumm,-100
cummer,-100
cumming,-100
cumquat,-100
cumqueen,-100
cumshot,-100
cunilingus,-100
cunillingus,-100
cunn,-100
cunnilingus,-100
cunntt,-100
cunt,-100
cunteyed,-100
cuntfuck,-100
cuntfucker,-100
cuntlick ,-100
cuntlicker ,-100
cuntlicking ,-100
cuntsucker,-100
cybersex,-100
cyberslimer,-100
dago,-100
dahmer,-100
dammit,-100
damn,-100
damnation,-100
damnit,-100
darkie,-100
darky,-100
datnigga,-100
dead,-100
deapthroat,-100
death,-100
deepthroat,-100
defecate,-100
dego,-100
demon,-100
deposit,-100
desire,-100
destroy,-100
deth,-100
devil,-100
devilworshipper,-100
dick,-100
dickbrain,-100
dickforbrains,-100
dickhead,-100
dickless,-100
dicklick,-100
dicklicker,-100
dickman,-100
dickwad,-100
dickweed,-100
diddle,-100
die,-100
died,-100
dies,-100
dike,-100
dildo,-100
dingleberry,-100
dink,-100
dipshit,-100
dipstick,-100
dirty,-100
disease,-100
diseases,-100
disturbed,-100
dive,-100
dix,-100
dixiedike,-100
dixiedyke,-100
doggiestyle,-100
doggystyle,-100
dong,-100
doodoo,-100
doo-doo,-100
doom,-100
dope,-100
dragqueen,-100
dragqween,-100
dripdick,-100
drug,-100
drunk,-100
drunken,-100
dumb,-100
dumbass,-100
dumbbitch,-100
dumbfuck,-100
dyefly,-100
dyke,-100
easyslut,-100
eatballs,-100
eatme,-100
eatpussy,-100
ecstacy,-100
ejaculate,-100
ejaculated,-100
ejaculating ,-100
ejaculation,-100
enema,-100
enemy,-100
erect,-100
erection,-100
ero,-100
escort,-100
ethiopian,-100
ethnic,-100
european,-100
evl,-100
excrement,-100
execute,-100
executed,-100
execution,-100
executioner,-100
explosion,-100
facefucker,-100
faeces,-100
fag,-100
fagging,-100
faggot,-100
fagot,-100
failed,-100
failure,-100
fairies,-100
fairy,-100
faith,-100
fannyfucker,-100
fart,-100
farted ,-100
farting ,-100
farty ,-100
fastfuck,-100
fat,-100
fatah,-100
fatass,-100
fatfuck,-100
fatfucker,-100
fatso,-100
fckcum,-100
fear,-100
feces,-100
felatio ,-100
felch,-100
felcher,-100
felching,-100
fellatio,-100
feltch,-100
feltcher,-100
feltching,-100
fetish,-100
fight,-100
filipina,-100
filipino,-100
fingerfood,-100
fingerfuck ,-100
fingerfucked ,-100
fingerfucker ,-100
fingerfuckers,-100
fingerfucking ,-100
fire,-100
firing,-100
fister,-100
fistfuck,-100
fistfucked ,-100
fistfucker ,-100
fistfucking ,-100
fisting,-100
flange,-100
flasher,-100
flatulence,-100
floo,-100
flydie,-100
flydye,-100
fok,-100
fondle,-100
footaction,-100
footfuck,-100
footfucker,-100
footlicker,-100
footstar,-100
fore,-100
foreskin,-100
forni,-100
fornicate,-100
foursome,-100
fourtwenty,-100
fraud,-100
freakfuck,-100
freakyfucker,-100
freefuck,-100
fu,-100
fubar,-100
fuc,-100
fucck,-100
fuck,-100
fucka,-100
fuckable,-100
fuckbag,-100
fuckbuddy,-100
fucked,-100
fuckedup,-100
fucker,-100
fuckers,-100
fuckface,-100
fuckfest,-100
fuckfreak,-100
fuckfriend,-100
fuckhead,-100
fuckher,-100
fuckin,-100
fuckina,-100
fucking,-100
fuckingbitch,-100
fuckinnuts,-100
fuckinright,-100
fuckit,-100
fuckknob,-100
fuckme ,-100
fuckmehard,-100
fuckmonkey,-100
fuckoff,-100
fuckpig,-100
fucks,-100
fucktard,-100
fuckwhore,-100
fuckyou,-100
fudgepacker,-100
fugly,-100
fuk,-100
fuks,-100
funeral,-100
funfuck,-100
fungus,-100
fuuck,-100
gangbang,-100
gangbanged ,-100
gangbanger,-100
gangsta,-100
gatorbait,-100
gay,-100
gaymuthafuckinwhore,-100
gaysex ,-100
geez,-100
geezer,-100
geni,-100
genital,-100
german,-100
getiton,-100
gin,-100
ginzo,-100
gipp,-100
girls,-100
givehead,-100
glazeddonut,-100
gob,-100
god,-100
godammit,-100
goddamit,-100
goddammit,-100
goddamn,-100
goddamned,-100
goddamnes,-100
goddamnit,-100
goddamnmuthafucker,-100
goldenshower,-100
gonorrehea,-100
gonzagas,-100
gook,-100
gotohell,-100
goy,-100
goyim,-100
greaseball,-100
gringo,-100
groe,-100
gross,-100
grostulation,-100
gubba,-100
gummer,-100
gun,-100
gyp,-100
gypo,-100
gypp,-100
gyppie,-100
gyppo,-100
gyppy,-100
hamas,-100
handjob,-100
hapa,-100
harder,-100
hardon,-100
harem,-100
headfuck,-100
headlights,-100
hebe,-100
heeb,-100
hell,-100
henhouse,-100
heroin,-100
herpes,-100
heterosexual,-100
hijack,-100
hijacker,-100
hijacking,-100
hillbillies,-100
hindoo,-100
hiscock,-100
hitler,-100
hitlerism,-100
hitlerist,-100
hiv,-100
ho,-100
hobo,-100
hodgie,-100
hoes,-100
hole,-100
holestuffer,-100
homicide,-100
homo,-100
homobangers,-100
homosexual,-100
honger,-100
honk,-100
honkers,-100
honkey,-100
honky,-100
hook,-100
hooker,-100
hookers,-100
hooters,-100
hore,-100
hork,-100
horn,-100
horney,-100
horniest,-100
horny,-100
horseshit,-100
hosejob,-100
hoser,-100
hostage,-100
hotdamn,-100
hotpussy,-100
hottotrot,-100
hummer,-100
husky,-100
hussy,-100
hustler,-100
hymen,-100
hymie,-100
iblowu,-100
idiot,-100
ikey,-100
illegal,-100
incest,-100
insest,-100
intercourse,-100
interracial,-100
intheass,-100
inthebuff,-100
israel,-100
israeli,-100
israel's,-100
italiano,-100
itch,-100
jackass,-100
jackoff,-100
jackshit,-100
jacktheripper,-100
jade,-100
jap,-100
japanese,-100
japcrap,-100
jebus,-100
jeez,-100
jerkoff,-100
jesus,-100
jesuschrist,-100
jew,-100
jewish,-100
jiga,-100
jigaboo,-100
jigg,-100
jigga,-100
jiggabo,-100
jigger ,-100
jiggy,-100
jihad,-100
jijjiboo,-100
jimfish,-100
jism,-100
jiz ,-100
jizim,-100
jizjuice,-100
jizm ,-100
jizz,-100
jizzim,-100
jizzum,-100
joint,-100
juggalo,-100
jugs,-100
junglebunny,-100
kaffer,-100
kaffir,-100
kaffre,-100
kafir,-100
kanake,-100
kid,-100
kigger,-100
kike,-100
kill,-100
killed,-100
killer,-100
killing,-100
kills,-100
kink,-100
kinky,-100
kissass,-100
kkk,-100
knife,-100
knockers,-100
kock,-100
kondum,-100
koon,-100
kotex,-100
krap,-100
krappy,-100
kraut,-100
kum,-100
kumbubble,-100
kumbullbe,-100
kummer,-100
kumming,-100
kumquat,-100
kums,-100
kunilingus,-100
kunnilingus,-100
kunt,-100
ky,-100
kyke,-100
lactate,-100
laid,-100
lapdance,-100
latin,-100
lesbain,-100
lesbayn,-100
lesbian,-100
lesbin,-100
lesbo,-100
lez,-100
lezbe,-100
lezbefriends,-100
lezbo,-100
lezz,-100
lezzo,-100
liberal,-100
libido,-100
licker,-100
lickme,-100
lies,-100
limey,-100
limpdick,-100
limy,-100
lingerie,-100
liquor,-100
livesex,-100
loadedgun,-100
lolita,-100
looser,-100
loser,-100
lotion,-100
lovebone,-100
lovegoo,-100
lovegun,-100
lovejuice,-100
lovemuscle,-100
lovepistol,-100
loverocket,-100
lowlife,-100
lsd,-100
lubejob,-100
lucifer,-100
luckycammeltoe,-100
lugan,-100
lynch,-100
macaca,-100
mad,-100
mafia,-100
magicwand,-100
mams,-100
manhater,-100
manpaste,-100
marijuana,-100
mastabate,-100
mastabater,-100
masterbate,-100
masterblaster,-100
mastrabator,-100
masturbate,-100
masturbating,-100
mattressprincess,-100
meatbeatter,-100
meatrack,-100
meth,-100
mexican,-100
mgger,-100
mggor,-100
mickeyfinn,-100
mideast,-100
milf,-100
minority,-100
mockey,-100
mockie,-100
mocky,-100
mofo,-100
moky,-100
moles,-100
molest,-100
molestation,-100
molester,-100
molestor,-100
moneyshot,-100
mooncricket,-100
mormon,-100
moron,-100
moslem,-100
mosshead,-100
mothafuck,-100
mothafucka,-100
mothafuckaz,-100
mothafucked ,-100
mothafucker,-100
mothafuckin,-100
mothafucking ,-100
mothafuckings,-100
motherfuck,-100
motherfucked,-100
motherfucker,-100
motherfuckin,-100
motherfucking,-100
motherfuckings,-100
motherlovebone,-100
muff,-100
muffdive,-100
muffdiver,-100
muffindiver,-100
mufflikcer,-100
mulatto,-100
muncher,-100
munt,-100
murder,-100
murderer,-100
muslim,-100
naked,-100
narcotic,-100
nasty,-100
nastybitch,-100
nastyho,-100
nastyslut,-100
nastywhore,-100
nazi,-100
necro,-100
negro,-100
negroes,-100
negroid,-100
negro's,-100
nig,-100
niger,-100
nigerian,-100
nigerians,-100
nigg,-100
nigga,-100
niggah,-100
niggaracci,-100
niggard,-100
niggarded,-100
niggarding,-100
niggardliness,-100
niggardliness's,-100
