x,y
"a55,",-100
"a55hole,",-100
"aeolus,",-100
"ahole,",-100
"anal,",-100
"analprobe,",-100
"anilingus,",-100
"anus,",-100
"areola,",-100
"areole,",-100
"arian,",-100
"aryan,",-100
"ass,",-100
"assbang,",-100
"assbanged,",-100
"assbangs,",-100
"asses,",-100
"assfuck,",-100
"assfucker,",-100
"assh0le,",-100
"asshat,",-100
"assho1e,",-100
"ass hole,",-100
"assholes,",-100
"assmaster,",-100
"assmunch,",-100
"asswipe,",-100
"asswipes,",-100
"azazel,",-100
"azz,",-100
"b1tch,",-100
"babe,",-100
"babes,",-100
"ballsack,",-100
"bang,",-100
"banger,",-100
"barf,",-100
"bastard,",-100
"bastards,",-100
"bawdy,",-100
"beaner,",-100
"beardedclam,",-100
"beastiality,",-100
"beatch,",-100
"beater,",-100
"beaver,",-100
"beer,",-100
"beeyotch,",-100
"beotch,",-100
"biatch,",-100
"bigtits,",-100
"big tits,",-100
"bimbo,",-100
"bitch,",-100
"bitched,",-100
"bitches,",-100
"bitchy,",-100
"blow job,",-100
"blow,",-100
"blowjob,",-100
"blowjobs,",-100
"bod,",-100
"bodily,",-100
"boink,",-100
"bollock,",-100
"bollocks,",-100
"bollok,",-100
"bone,",-100
"boned,",-100
"boner,",-100
"boners,",-100
"bong,",-100
"boob,",-100
"boobies,",-100
"boobs,",-100
"booby,",-100
"booger,",-100
"bookie,",-100
"bootee,",-100
"bootie,",-100
"booty,",-100
"booze,",-100
"boozer,",-100
"boozy,",-100
"bosom,",-100
"bosomy,",-100
"bowel,",-100
"bowels,",-100
"bra,",-100
"brassiere,",-100
"breast,",-100
"breasts,",-100
"bugger,",-100
"bukkake,",-100
"bullshit,",-100
"bull shit,",-100
"bullshits,",-100
"bullshitted,",-100
"bullturds,",-100
"bung,",-100
"busty,",-100
"butt,",-100
"butt fuck,",-100
"buttfuck,",-100
"buttfucker,",-100
"buttfucker,",-100
"buttplug,",-100
"c.0.c.k,",-100
"c.o.c.k.,",-100
"c.u.n.t,",-100
"c0ck,",-100
"c-0-c-k,",-100
"caca,",-100
"cahone,",-100
"cameltoe,",-100
"carpetmuncher,",-100
"cawk,",-100
"cervix,",-100
"chinc,",-100
"chincs,",-100
"chink,",-100
"chink,",-100
"chode,",-100
"chodes,",-100
"cl1t,",-100
"climax,",-100
"clit,",-100
"clitoris,",-100
"clitorus,",-100
"clits,",-100
"clitty,",-100
"cocain,",-100
"cocaine,",-100
"cock,",-100
"c-o-c-k,",-100
"cockblock,",-100
"cockholster,",-100
"cockknocker,",-100
"cocks,",-100
"cocksmoker,",-100
"cocksucker,",-100
"cock sucker,",-100
"coital,",-100
"commie,",-100
"condom,",-100
"coon,",-100
"coons,",-100
"corksucker,",-100
"crabs,",-100
"crack,",-100
"cracker,",-100
"crackwhore,",-100
"crap,",-100
"crappy,",-100
"cum,",-100
"cummin,",-100
"cumming,",-100
"cumshot,",-100
"cumshots,",-100
"cumslut,",-100
"cumstain,",-100
"cunilingus,",-100
"cunnilingus,",-100
"cunny,",-100
"cunt,",-100
"cunt,",-100
"c-u-n-t,",-100
"cuntface,",-100
"cunthunter,",-100
"cuntlick,",-100
"cuntlicker,",-100
"cunts,",-100
"d0ng,",-100
"d0uch3,",-100
"d0uche,",-100
"d1ck,",-100
"d1ld0,",-100
"d1ldo,",-100
"dago,",-100
"dagos,",-100
"dammit,",-100
"damn,",-100
"damned,",-100
"damnit,",-100
"dawgie-style,",-100
"dick,",-100
"dickbag,",-100
"dickdipper,",-100
"dickface,",-100
"dickflipper,",-100
"dickhead,",-100
"dickheads,",-100
"dickish,",-100
"dick-ish,",-100
"dickripper,",-100
"dicksipper,",-100
"dickweed,",-100
"dickwhipper,",-100
"dickzipper,",-100
"diddle,",-100
"dike,",-100
"dildo,",-100
"dildos,",-100
"diligaf,",-100
"dillweed,",-100
"dimwit,",-100
"dingle,",-100
"dipship,",-100
"doggie-style,",-100
"doggy-style,",-100
"dong,",-100
"doofus,",-100
"doosh,",-100
"dopey,",-100
"douch3,",-100
"douche,",-100
"douchebag,",-100
"douchebags,",-100
"douchey,",-100
"drunk,",-100
"dumass,",-100
"dumbass,",-100
"dumbasses,",-100
"dummy,",-100
"dyke,",-100
"dykes,",-100
"ejaculate,",-100
"enlargement,",-100
"erect,",-100
"erection,",-100
"erotic,",-100
"essohbee,",-100
"extacy,",-100
"extasy,",-100
"f.u.c.k,",-100
"fack,",-100
"fag,",-100
"fagg,",-100
"fagged,",-100
"faggit,",-100
"faggot,",-100
"fagot,",-100
"fags,",-100
"faig,",-100
"faigt,",-100
"fannybandit,",-100
"fart,",-100
"fartknocker,",-100
"fat,",-100
"felch,",-100
"felcher,",-100
"felching,",-100
"fellate,",-100
"fellatio,",-100
"feltch,",-100
"feltcher,",-100
"fisted,",-100
"fisting,",-100
"fisty,",-100
"floozy,",-100
"foad,",-100
"fondle,",-100
"foobar,",-100
"foreskin,",-100
"freex,",-100
"frigg,",-100
"frigga,",-100
"fubar,",-100
"fuck,",-100
"f-u-c-k,",-100
"fuckass,",-100
"fucked,",-100
"fucked,",-100
"fucker,",-100
"fuckface,",-100
"fuckin,",-100
"fucking,",-100
"fucknugget,",-100
"fucknut,",-100
"fuckoff,",-100
"fucks,",-100
"fucktard,",-100
"fuck-tard,",-100
"fuckup,",-100
"fuckwad,",-100
"fuckwit,",-100
"fudgepacker,",-100
"fuk,",-100
"fvck,",-100
"fxck,",-100
"gae,",-100
"gai,",-100
"ganja,",-100
"gay,",-100
"gays,",-100
"gey,",-100
"gfy,",-100
"ghay,",-100
"ghey,",-100
"gigolo,",-100
"glans,",-100
"goatse,",-100
"godamn,",-100
"godamnit,",-100
"goddam,",-100
"goddammit,",-100
"goddamn,",-100
"goldenshower,",-100
"gonad,",-100
"gonads,",-100
"gook,",-100
"gooks,",-100
"gringo,",-100
"gspot,",-100
"g-spot,",-100
"gtfo,",-100
"guido,",-100
"h0m0,",-100
"h0mo,",-100
"handjob,",-100
"hard on,",-100
"he11,",-100
"hebe,",-100
"heeb,",-100
"hell,",-100
"hemp,",-100
"heroin,",-100
"herp,",-100
"herpes,",-100
"herpy,",-100
"hitler,",-100
"hiv,",-100
"hobag,",-100
"hom0,",-100
"homey,",-100
"homo,",-100
"homoey,",-100
"honky,",-100
"hooch,",-100
"hookah,",-100
"hooker,",-100
"hoor,",-100
"hootch,",-100
"hooter,",-100
"hooters,",-100
"horny,",-100
"hump,",-100
"humped,",-100
"humping,",-100
"hussy,",-100
"hymen,",-100
"inbred,",-100
"incest,",-100
"injun,",-100
"j3rk0ff,",-100
"jackass,",-100
"jackhole,",-100
"jackoff,",-100
"jap,",-100
"japs,",-100
"jerk,",-100
"jerk0ff,",-100
"jerked,",-100
"jerkoff,",-100
"jism,",-100
"jiz,",-100
"jizm,",-100
"jizz,",-100
"jizzed,",-100
"junkie,",-100
"junky,",-100
"kike,",-100
"kikes,",-100
"kill,",-100
"kinky,",-100
"kkk,",-100
"klan,",-100
"knobend,",-100
"kooch,",-100
"kooches,",-100
"kootch,",-100
"kraut,",-100
"kyke,",-100
"labia,",-100
"lech,",-100
"leper,",-100
"lesbians,",-100
"lesbo,",-100
"lesbos,",-100
"lez,",-100
"lezbian,",-100
"lezbians,",-100
"lezbo,",-100
"lezbos,",-100
"lezzie,",-100
"lezzies,",-100
"lezzy,",-100
"lmao,",-100
"lmfao,",-100
"loin,",-100
"loins,",-100
"lube,",-100
"lusty,",-100
"mams,",-100
"massa,",-100
"masterbate,",-100
"masterbating,",-100
"masterbation,",-100
"masturbate,",-100
"masturbating,",-100
"masturbation,",-100
"maxi,",-100
"menses,",-100
"menstruate,",-100
"menstruation,",-100
"meth,",-100
"m-fucking,",-100
"mofo,",-100
"molest,",-100
"moolie,",-100
"moron,",-100
"motherfucka,",-100
"motherfucker,",-100
"motherfucking,",-100
"mtherfucker,",-100
"mthrfucker,",-100
"mthrfucking,",-100
"muff,",-100
"muffdiver,",-100
"murder,",-100
"muthafuckaz,",-100
"muthafucker,",-100
"mutherfucker,",-100
"mutherfucking,",-100
"muthrfucking,",-100
"nad,",-100
"nads,",-100
"naked,",-100
"napalm,",-100
"nappy,",-100
"nazi,",-100
"nazism,",-100
"negro,",-100
"nigga,",-100
"niggah,",-100
"niggas,",-100
"niggaz,",-100
"nigger,",-100
"nigger,",-100
"niggers,",-100
"niggle,",-100
"niglet,",-100
"nimrod,",-100
"ninny,",-100
"nipple,",-100
"nooky,",-100
"nympho,",-100
"opiate,",-100
"opium,",-100
"oral,",-100
"orally,",-100
"organ,",-100
"orgasm,",-100
"orgasmic,",-100
"orgies,",-100
"orgy,",-100
"ovary,",-100
"ovum,",-100
"ovums,",-100
"p.u.s.s.y.,",-100
"paddy,",-100
"paki,",-100
"pantie,",-100
"panties,",-100
"panty,",-100
"pastie,",-100
"pasty,",-100
"pcp,",-100
"pecker,",-100
"pedo,",-100
"pedophile,",-100
"pedophilia,",-100
"pedophiliac,",-100
"pee,",-100
"peepee,",-100
"penetrate,",-100
"penetration,",-100
"penial,",-100
"penile,",-100
"penis,",-100
"perversion,",-100
"peyote,",-100
"phalli,",-100
"phallic,",-100
"phuck,",-100
"pillowbiter,",-100
"pimp,",-100
"pinko,",-100
"piss,",-100
"pissed,",-100
"pissoff,",-100
"piss-off,",-100
"pms,",-100
"polack,",-100
"pollock,",-100
"poon,",-100
"poontang,",-100
"porn,",-100
"porno,",-100
"pornography,",-100
"pot,",-100
"potty,",-100
"prick,",-100
"prig,",-100
"prostitute,",-100
"prude,",-100
"pube,",-100
"pubic,",-100
"pubis,",-100
"punkass,",-100
"punky,",-100
"puss,",-100
"pussies,",-100
"pussy,",-100
"pussypounder,",-100
"puto,",-100
"queaf,",-100
"queef,",-100
"queef,",-100
"queer,",-100
"queero,",-100
"queers,",-100
"quicky,",-100
"quim,",-100
"racy,",-100
"rape,",-100
"raped,",-100
"raper,",-100
"rapist,",-100
"raunch,",-100
"rectal,",-100
"rectum,",-100
"rectus,",-100
"reefer,",-100
"reetard,",-100
"reich,",-100
"retard,",-100
"retarded,",-100
"revue,",-100
"rimjob,",-100
"ritard,",-100
"rtard,",-100
"r-tard,",-100
"rum,",-100
"rump,",-100
"rumprammer,",-100
"ruski,",-100
"s.h.i.t.,",-100
"s.o.b.,",-100
"s0b,",-100
"sadism,",-100
"sadist,",-100
"scag,",-100
"scantily,",-100
"schizo,",-100
"schlong,",-100
"screw,",-100
"screwed,",-100
"scrog,",-100
"scrot,",-100
"scrote,",-100
"scrotum,",-100
"scrud,",-100
"scum,",-100
"seaman,",-100
"seamen,",-100
"seduce,",-100
"semen,",-100
"sex,",-100
"sexual,",-100
"sh1t,",-100
"s-h-1-t,",-100
"shamedame,",-100
"shit,",-100
"s-h-i-t,",-100
"shite,",-100
"shiteater,",-100
"shitface,",-100
"shithead,",-100
"shithole,",-100
"shithouse,",-100
"shits,",-100
"shitt,",-100
"shitted,",-100
"shitter,",-100
"shitty,",-100
"shiz,",-100
"sissy,",-100
"skag,",-100
"skank,",-100
"slave,",-100
"sleaze,",-100
"sleazy,",-100
"slut,",-100
"slutdumper,",-100
"slutkiss,",-100
"sluts,",-100
"smegma,",-100
"smut,",-100
"smutty,",-100
"snatch,",-100
"sniper,",-100
"snuff,",-100
"s-o-b,",-100
